iter	Passed	Remaining
0	82	82050
1	107	53840
2	132	43930
3	169	42090
4	191	38160
5	216	35856
6	239	33974
7	264	32847
8	287	31663
9	312	30985
10	336	30225
11	363	29927
12	391	29725
13	418	29441
14	448	29428
15	476	29295
16	505	29245
17	535	29236
18	562	29037
19	586	28741
20	611	28515
21	637	28323
22	661	28108
23	688	27987
24	709	27679
25	735	27566
26	758	27332
27	782	27176
28	807	27033
29	831	26883
30	856	26767
31	882	26682
32	906	26561
33	933	26535
34	961	26498
35	986	26415
36	1011	26322
37	1036	26251
38	1061	26147
39	1086	26076
40	1108	25936
41	1138	25957
42	1166	25962
43	1198	26044
44	1233	26175
45	1261	26159
46	1304	26453
47	1398	27728
48	1441	27967
49	1490	28320
50	1531	28488
51	1568	28588
52	1602	28630
53	1630	28568
54	1657	28477
55	1682	28360
56	1714	28366
57	1743	28319
58	1767	28196
59	1794	28114
60	1834	28244
61	1876	28391
62	1898	28232
63	1924	28140
64	1953	28098
65	1983	28074
66	2006	27944
67	2030	27825
68	2057	27760
69	2084	27692
70	2111	27633
71	2142	27620
72	2177	27646
73	2203	27573
74	2229	27493
75	2253	27394
76	2277	27294
77	2305	27253
78	2328	27149
79	2351	27036
80	2378	26982
81	2405	26929
82	2445	27017
83	2483	27081
84	2523	27165
85	2561	27225
86	2609	27383
87	2654	27512
88	2709	27738
89	2745	27759
90	2789	27868
91	2829	27923
92	2873	28025
93	2902	27970
94	2928	27896
95	2957	27851
96	2995	27882
97	3019	27789
98	3046	27729
99	3067	27610
100	3090	27512
101	3110	27383
102	3133	27292
103	3157	27201
104	3182	27130
105	3207	27054
106	3233	26983
107	3261	26941
108	3283	26838
109	3306	26752
110	3328	26656
111	3354	26592
112	3378	26522
113	3401	26437
